ID,category,spanish,korean,quiz,answer,level
59,estar,Tú estás con gripe.,너는 감기에 걸렸다.,Tú ( ) con gripe.,estás,하
60,estar,¿Cómo está usted?,당신은 어떻게 지내십니까?,¿Cómo ( ) usted?,está,하
61,estar,Ana está en Colombia.,아나는 콜롬비아에 있다.,Ana ( ) en Colombia.,está,하
62,estar,Nosotros estamos en primavera.,우리는 봄을 지내고 있다.,Nosotros ( ) en primavera.,estamos,하
63,estar,Ellos están en el primer piso.,그들은 1층에 있다.,Ellos ( ) en el primer piso.,están,하
64,estar,El auto está frente a la casa.,자동차가 집 앞에 있다.,El auto ( ) frente a la casa.,está,하
65,estar,El delfín está nadando.,돌고래가 수영하고 있다.,El delfín ( ) nadando.,está,하
66,estar,Yo estoy aprendiendo español.,나는 스페인어를 배우고 있다.,Yo ( ) aprendiendo español.,estoy,하
67,estar,¿Ustedes están esperando el bus?,여러분은 버스를 기다리고 있습니까?,¿Ustedes ( ) esperando el bus?,están,하
68,estar,Nosotros estamos desayunando.,우리는 아침 식사를 하고 있다.,Nosotros ( ) desayunando.,estamos,하
69,이름 및 성,¿Cómo te llamas?,너 이름이 뭐야? (1),¿Cómo te ( )?,llamas,하
70,이름 및 성,¿Cuál es tu nombre?,너 이름이 뭐야? (2),¿Cuál es tu ()?,nombre,하
71,이름 및 성,Mi nombre es Carlos.,내 이름은 카를로스야.,Mi () es Carlos.,nombre,하
72,이름 및 성,Yo soy Ana,내 이름은 아나야,Yo () Ana.,soy,하
73,이름 및 성,Me llamo Sofía.,내 이름은 소피아야.,Me ( ) Sofía.,llamo,하
74,이름 및 성,¿Cuál es tu apellido?,너 성이 뭐야?,¿Cuál es tu ( )?,apellido,중
75,이름 및 성,Mi apellido es Gómez.,나의 성은 고메스야.,Mi () es Gómez.,apellido,중
76,상태 및 기분,Yo estoy contento.,나는 기쁘다. (남성),Yo estoy ( ). (él),contento,중
77,상태 및 기분,Yo estoy contenta.,나는 기쁘다. (여성),Yo estoy ( ). (ella),contenta,중
78,상태 및 기분,Vosotras estáis contentas.,너희들은 기쁘다. (여성 복수),Vosotras estáis ( ). (ellas),contentas,상
79,상태 및 기분,Yo estoy cansado.,나는 피곤하다. (남성),Yo estoy ( ). (él),cansado,중
80,상태 및 기분,Yo estoy cansada.,나는 피곤하다. (여성),Yo estoy ( ). (ella),cansada,중
81,상태 및 기분,Nosotros estamos cansados.,우리는 피곤하다. ,Nosotros estamos ( ).,cansados,중
82,상태 및 기분,Ustedes están cansados.,당신들은 피곤하십니다.,Ustedes están ( ).,cansados,중
83,상태 및 기분,Yo estoy enfermo.,나는 아프다. (남성),Yo estoy ( ). (él),enfermo,상
84,상태 및 기분,Yo estoy enferma.,나는 아프다. (여성),Yo estoy ( ). (ella),enferma,상
85,상태 및 기분,Ellos están enfermos.,그들은 아프다.,Ellos están ( ).,enfermos,상
86,상태 및 기분,Tú estás ocupado.,너는 바쁘다. (남성),Tú estás ( ). (él),ocupado,상
87,상태 및 기분,Ella está ocupada.,그녀는 바쁘다.,Ella está ( ).,ocupada,상
88,상태 및 기분,Vosotros estáis ocupados.,너희들은 바쁘다.,Vosotros estáis ( ).,ocupados,상
89,상태 및 기분,Ellas están ocupadas.,그녀들은 바쁘다.,Ellas están ( ).,ocupadas,상
90,상태 및 기분,Juan y Pedro están ocupados.,후안과 페드로는 바쁘다.,Juan y Pedro están ( ).,ocupados,상
91,상태 및 기분,Ella está preocupada.,그녀는 걱정하고 있다.,Ella está ( ).,preocupada,상
92,상태 및 기분,Ustedes están listos.,당신들은 준비되었습니다. ,Ustedes están ( ).,listos,상
93,상태 및 기분,Nosotros estamos listas.,우리는 준비되었습니다. ,Nosotros estamos ( ).,listas,상
94,상태 및 기분,Él está nervioso.,그는 긴장한다.,Él está ( ).,nervioso,상
95,상태 및 기분,Ellos están nerviosos.,그들은 긴장했다.,Ellos están ( ).,nerviosos,상
96,상태 및 기분,Él está tranquilo.,그는 차분하다.,Él está ( ).,tranquilo,상
97,상태 및 기분,Ella está feliz.,그녀는 행복하다. ,Ella está ( ).,feliz,상
98,상태 및 기분,Ellas están felices.,그녀들은 행복하다. ,Ellas están ( ).,felices,상
99,상태 및 기분,Yo estoy triste.,나는 슬프다. ,Yo estoy ( ).,triste,중
100,상태 및 기분,Yo estoy bien.,나는 잘 지내. ,Yo estoy ( ).,bien,중
101,상태 및 기분,Yo estoy mal.,나는 안 좋게 지내.,Yo estoy ( ).,mal,중
102,상태 및 기분,Yo tengo hambre.,나는 배가 고프다.,Yo tengo ( ).,hambre,중
103,상태 및 기분,Tú tienes sed.,너는 목이 마르다.,Tú tienes ( ).,sed,중
104,상태 및 기분,Él tiene sueño.,그는 졸리다.,Él tiene ( ).,sueño,중
105,상태 및 기분,Nosotros tenemos frío.,우리는 춥다.,Nosotros tenemos ( ).,frío,중
106,상태 및 기분,Vosotros tenéis calor.,너희들은 덥다.,Vosotros tenéis ( ).,calor,중
107,상태 및 기분,Ella tiene miedo.,그녀는 무섭다. (두려워하다),Ella tiene ( ).,miedo,상
108,상태 및 기분,Yo estoy alegre,나는 기뻐,Yo estoy (),alegre,중
109,현재진행형,Yo estoy comiendo ahora.,나는 지금 먹는 중이다.,Yo estoy ( ) ahora. (comer),comiendo,중
110,현재진행형,Tú estás escuchando música.,너는 음악을 듣는 중이다.,Tú estás ( ) música. (escuchar),escuchando,중
111,현재진행형,Él está comprando un libro.,그는 책을 사는 중이다.,Él está ( ) un libro. (comprar),comprando,중
112,현재진행형,Nosotros estamos caminando en el parque.,우리는 공원에서 걷는 중이다.,Nosotros estamos ( ) en el parque. (caminar),caminando,중
113,현재진행형,Ellos están descansando en casa ahora.,그들은 지금 집에서 쉬는 중이다.,Ellos están ( ) en casa ahora. (descansar),descansando,중
114,현재진행형,Ella está mirando la televisión.,그녀는 TV를 보는 중이다.,Ella está ( ) la televisión. (mirar),mirando,중
115,현재진행형,Ustedes están estudiando español.,당신들은 스페인어를 공부하는 중이다.,Ustedes están ( ) español. (estudiar),estudiando,중
116,현재진행형,Yo estoy hablando con mi amigo.,나는 친구와 이야기하는 중이다.,Yo estoy ( ) con mi amigo. (hablar),hablando,중
117,현재진행형,Tú estás bebiendo agua.,너는 물을 마시는 중이다.,Tú estás ( ) agua. (beber),bebiendo,중
118,현재진행형,Ellas están escribiendo en la clase.,그녀들은 수업에서 글을 쓰는 중이다.,Ellas están ( ) en la clase. (escribir),escribiendo,중
119,현재진행형,Él está trabajando en la oficina.,그는 사무실에서 일하는 중이다.,Él está ( ) en la oficina. (trabajar),trabajando,중
120,현재진행형,Nosotros estamos cantando una canción.,우리는 노래를 부르는 중이다.,Nosotros estamos ( ) una canción. (cantar),cantando,중
121,현재진행형,Ellos están practicando fútbol.,그들은 축구를 연습하는 중이다.,Ellos están ( ) fútbol. (practicar),practicando,중
122,현재진행형,Yo estoy cerrando la puerta.,나는 문을 닫는 중이다.,Yo estoy ( ) la puerta. (cerrar),cerrando,중
123,현재진행형,Yo estoy jugando con mis amigos.,나는 친구들과 노는 중이다.,Yo estoy ( ) con mis amigos. (jugar),jugando,중
124,성격 및 외모,Yo soy alto.,나는 키가 크다. (남성),Yo soy ( ). (él),alto,중
125,성격 및 외모,Yo soy alta.,나는 키가 크다. (여성),Yo soy ( ). (ella),alta,중
126,성격 및 외모,Tú eres delgado.,너는 날씬하다. (남성),Tú eres ( ). (él),delgado,중
127,성격 및 외모,Tú eres delgada.,너는 날씬하다. (여성),Tú eres ( ). (ella),delgada,중
128,성격 및 외모,Él es simpático.,그는 상냥하다. (친절하다),Él es ( ).,simpático,중
129,성격 및 외모,Ella es simpática.,그녀는 상냥하다. (친절하다),Ella es ( ).,simpática,중
130,성격 및 외모,Ellos son inteligentes.,그들은 똑똑하다.,Ellos son ( ).,inteligentes,상
131,성격 및 외모,Él es bajo.,그는 키가 작다.,Él es ( ).,bajo,중
132,성격 및 외모,Ella es baja.,그녀는 키가 작다.,Ella es ( ).,baja,중
133,성격 및 외모,Nosotros somos gordos.,우리는 뚱뚱하다. ,Nosotros somos ( ).,gordos,상
134,성격 및 외모,Vosotros sois guapos.,너희들은 잘생겼다. ,Vosotros sois ( ).,guapos,상
135,성격 및 외모,Ellas son feas.,그녀들은 못생겼다. (여성 복수),Ellas son ( ). (ellas),feas,상
136,성격 및 외모,Tú eres antipático.,"너는 심술궂다. (불친절하다, 남성)",Tú eres ( ). (él),antipático,중
137,성격 및 외모,Yo soy trabajadora.,나는 성실하다. (여성),Yo soy ( ). (ella),trabajadora,상
138,성격 및 외모,Ellos son trabajadores,그들은 성실하다. ,Ellos son ( ).,trabajadores,상
139,"국적, 국적형용사",¿De dónde eres?,너 국적이 뭐야? (1),¿De () eres?,dónde,중
140,"국적, 국적형용사",¿Cuál es tu nacionalidad?,너 국적이 뭐야? (2),¿Cuál es tu ()?,nacionalidad,중
141,"국적, 국적형용사",Yo soy coreano.,나는 한국인이다. (남성),Yo soy ( ). (él),coreano,중
142,"국적, 국적형용사",Yo soy coreana.,나는 한국인이다. (여성),Yo soy ( ). (ella),coreana,중
143,"국적, 국적형용사",Tú eres español.,너는 스페인인이다. (남성),Tú eres ( ). (él),español,중
144,"국적, 국적형용사",Tú eres española.,너는 스페인인이다. (여성),Tú eres ( ). (ella),española,중
145,"국적, 국적형용사",Él es mexicano.,그는 멕시코인이다.,Él es ( ).,mexicano,중
146,"국적, 국적형용사",Ella es mexicana.,그녀는 멕시코인이다.,Ella es ( ).,mexicana,중
147,"국적, 국적형용사",Nosotros somos coreanos.,우리는 한국인이다. ,Nosotros somos ( ).,coreanos,상
148,"국적, 국적형용사",Nosotras somos españolas.,우리는 스페인인이다. ,Nosotras somos ( ).,españolas,상
149,"국적, 국적형용사",Ellos son mexicanos.,그들은 멕시코인이다. ,Ellos son ( ).,mexicanos,상
150,"국적, 국적형용사",Él es alemán.,그는 독일인이다.,Él es ( ).,alemán,중
151,"국적, 국적형용사",Ella es alemana.,그녀는 독일인이다.,Ella es ( ).,alemana,중
152,"국적, 국적형용사",Él es argentino.,그는 아르헨티나인이다.,Él es ( ).,argentino,중
153,"국적, 국적형용사",Ella es argentina.,그녀는 아르헨티나인이다.,Ella es ( ).,argentina,중
154,"국적, 국적형용사",Tú eres chino.,너는 중국인이다. (남성),Tú eres ( ). (él),chino,중
155,"국적, 국적형용사",Tú eres china.,너는 중국인이다. (여성),Tú eres ( ). (ella),china,중
156,"국적, 국적형용사",Yo soy estadounidense.,나는 미국인이다.,Yo soy ( ).,estadounidense,중
157,"국적, 국적형용사",Nosotros somos estadounidenses.,우리는 미국인이다. ,Nosotros somos ( ).,estadounidenses,상
158,"국적, 국적형용사",Él es inglés.,그는 영국인이다.,Él es ( ).,inglés,중
159,"국적, 국적형용사",Ella es inglesa.,그녀는 영국인이다. ,Ella es ( ).,inglesa,중
160,"국적, 국적형용사",Yo soy japonés.,나는 일본인이다. (남성),Yo soy ( ). (él),japonés,중
161,"국적, 국적형용사",Yo soy japonesa.,나는 일본인이다. (여성),Yo soy ( ). (ella),japonesa,중
162,"국적, 국적형용사",Él es colombiano.,그는 콜롬비아인이다.,Él es ( ).,colombiano,중
163,"국적, 국적형용사",Ellas son colombianas.,그녀들은 콜롬비아인이다. ,Ellas son ( ).,colombianas,상
164,"국적, 국적형용사",Tú eres cubano.,너는 쿠바인이다. (남성),Tú eres ( ). (él),cubano,중
165,"국적, 국적형용사",Tú eres cubana.,너는 쿠바인이다. (여성),Tú eres ( ). (ella),cubana,중
166,"국적, 국적형용사",Ellos son peruanos.,그들은 페루인이다.,Ellos son ( ).,peruanos,상
167,"국적, 국적형용사",Ellas son peruanas.,그녀들은 페루인이다.,Ellas son ( ).,peruanas,상
168,"국적, 국적형용사",Yo soy de Corea.,나는 한국 출신이다. ,Yo soy de ( ).,Corea,중
169,"국적, 국적형용사",Tú eres de España.,너는 스페인 출신이다.,Tú eres de ( ).,España,중
170,"국적, 국적형용사",Él es de México.,그는 멕시코 출신이다.,Él es de ( ).,México,중
171,"국적, 국적형용사",Nosotros somos de Corea.,우리는 한국 출신이다.,Nosotros somos de ( ).,Corea,중
172,"국적, 국적형용사",Vosotros sois de España.,너희들은 스페인 출신이다.,Vosotros sois de ( ).,España,중
173,"국적, 국적형용사",Ellos son de México.,그들은 멕시코 출신이다.,Ellos son de ( ).,México,중
174,가족 관계,Carmen es mi esposa.,Carmen은 내 아내야.,Carmen es mi ( ).,esposa,중
175,가족 관계,Pilar es mi prima.,Pilar는 내 사촌이야.,Pilar es mi ( ).,prima,중
176,가족 관계,Pablo es mi abuelo.,Pablo는 내 할아버지야.,Pablo es mi ( ).,abuelo,중
177,가족 관계,Carlos es mi tío.,Carlos는 내 삼촌이야.,Carlos es mi ( ).,tío,중
178,가족 관계,Carlos es mi esposo.,Carlos는 내 남편이야.,Carlos es mi ( ).,esposo,중
179,가족 관계,Luis es mi hijo.,Luis는 내 아들이야.,Luis es mi ( ).,hijo,중
180,가족 관계,Pilar es mi hija.,Pilar는 내 딸이야.,Pilar es mi ( ).,hija,중
181,가족 관계,Pablo es mi suegro.,Pablo는 내 시아버지야.,Pablo es mi ( ).,suegro,중
182,가족 관계,Carmen es mi suegra.,Carmen은 내 시어머니야.,Carmen es mi ( ).,suegra,중
183,가족 관계,Luis es mi hermano.,Luis는 내 형제이다.,Luis es mi ( ).,hermano,중
184,가족 관계,Pilar es mi hermana.,Pilar는 내 여동생이다.,Pilar es mi ( ).,hermana,중
185,가족 관계,Carlos es mi padre.,Carlos는 내 아버지이다.,Carlos es mi ( ).,padre,중
186,가족 관계,Teresa es mi madre.,Teresa는 내 어머니이다.,Teresa es mi ( ).,madre,중
187,가족 관계,Antonio y Rosa son mis padres.,Antonio와 Rosa는 내 부모님이다.,Antonio y Rosa son mis ().,padres,중
188,가족 관계,Marta es mi prima.,Marta는 내 사촌이다.,Marta es mi ( ).,prima,중
189,가족 관계,Juan es mi primo.,Juan은 내 사촌이다.,Juan es mi ( ).,primo,중
190,가족 관계,Clara es mi hermana.,Clara는 내 여동생이다.,Clara es mi ( ).,hermana,중
191,가족 관계,Carlos es su esposo.,Carlos는 그녀의 남편이다.,Carlos es su ().,esposo,중
192,가족 관계,Teresa es su esposa.,Teresa는 그의 아내이다.,Teresa es su ().,esposa,중
193,가족 관계,Luis es su hijo.,Luis는 그녀의 아들이다.,Luis es su ().,hijo,중
194,가족 관계,Pilar es su hija.,Pilar는 그의 딸이다.,Pilar es su ().,hija,중
195,가족 관계,Marta y Clara son mis primas.,Marta와 Clara는 나의 사촌들이다.,Marta y Clara son mis ( ).,primas,중
196,가족 관계,Pablo y Carmen son nuestros abuelos.,Pablo와 Carmen은 우리의 조부모님이다.,Pablo y Carmen son nuestros ().,abuelos,중
197,가족 관계,Luis y Pilar son sus hijos.,Luis와 Pilar는 그들의 자녀들이다.,Luis y Pilar son sus ( ).,hijos,중
198,가족 관계,Antonio es tu padre.,Antonio는 너의 아버지이다.,Antonio es tu ().,padre,중
199,가족 관계,Rosa es tu madre.,Rosa는 너의 어머니이다.,Rosa es tu ().,madre,중
200,가족 관계,Marta y Juan son tus primos.,Marta와 Juan은 너의 사촌들이다.,Marta y Juan son tus ().,primos,중
201,가족 관계,Teresa es mi madre.,Teresa는 내 엄마/어머니야.,Teresa es mi ( ).,madre,중
202,가족 관계,Rosa es mi tía.,Rosa는 내 고모야.,Rosa es mi ( ).,tía,중
203,가족 관계,Carlos y Teresa son mis padres.,Carlos와 Teresa는 내 부모님이야.,Carlos y Teresa son mis ( ).,padres,중
204,가족 관계,Carlos es mi padre y Antonio es mi tío.,Carlos는 내 아빠고 Antonio는 내 고모부야.,Carlos es mi padre y Antonio es mi ( ).,tío,중
205,가족 관계,Pablo es el padre de mi padre.,Pablo는 내 아빠의 아빠야.,Pablo es el padre de mi ( ).,padre,중
206,가족 관계,Juan es el hijo de mis tíos.,Juan은 우리 고모네 아해야.,Juan es el hijo de mis ().,tíos,중
207,가족 관계,Rosa es la madre de mis primos.,Rosa는 내 사촌들의 어머니야.,Rosa es la madre de mis ( ).,primos,중
208,가족 관계,Juan es mi hijo.,Juan은 나의 아들이야.,Juan es mi ( ).,hijo,중
209,가족 관계,Marta es mi hija.,Marta는 나의 딸이야.,Marta es mi ( ).,hija,중
210,가족 관계,Carmen es mi suegra.,Carmen은 내 장모님이야.,Carmen es mi ( ).,suegra,중
211,생일,¿Cuándo es tu cumpleaños?,너 생일이 언제야?,¿Cuándo es tu ( )?,cumpleaños,중
212,생일,Mi cumpleaños es el cinco de mayo.,내 생일은 5월 5일이야.,Mi cumpleaños es el ( ).,cinco de mayo,중
213,생일,Mi cumpleaños es el doce de julio.,내 생일은 7월 12일이야.,Mi cumpleaños es el ( ).,doce de julio,중
214,생일,Mi cumpleaños es el dos de enero.,내 생일은 1월 2일이야.,Mi cumpleaños es el ( ).,dos de enero,중
215,생일,Mi cumpleaños es el treinta de agosto.,내 생일은 8월 30일이야.,Mi cumpleaños es el ( ).,treinta de agosto,중
216,생일,Mi cumpleaños es el veinticuatro de octubre.,내 생일은 10월 24일이야.,Mi cumpleaños es el ( ).,veinticuatro de octubre,중
217,생일,El veinte de noviembre es el cumpleaños de Carlos.,11월 20일은 Carlos의 생일이야.,El ( ) es el cumpleaños de Carlos.,veinte de noviembre,중
218,생일,El quince de septiembre es el cumpleaños de Sofía.,9월 15일은 Sofía의 생일이야.,El ( ) es el cumpleaños de Sofía.,quince de septiembre,중
219,생일,El ocho de abril es el cumpleaños de Juan.,4월 8일은 Juan의 생일이야.,El ( ) es el cumpleaños de Juan.,ocho de abril,중
220,시간,¿Qué hora es?,지금 몇 시야?,¿Qué ( ) es?,hora,중
221,시간,Son las ocho de la mañana.,아침 8시이다.,Son las ocho de la ( ).,mañana,중
222,시간,Son las tres de la tarde.,오후 3시이다.,Son las tres de la ( ).,tarde,중
223,시간,Son las diez de la mañana.,오전 10시이다.,Son las diez de la ( ).,mañana,중
224,시간,Son las cinco de la tarde.,오후 5시이다.,Son las cinco de la ( ).,tarde,중
225,시간,Es la una en punto.,정각 1시이다.,Es la ( ) en punto.,una,중
226,시간,Son las cinco menos cuarto.,4시 45분이다.,Son las ( ) menos cuarto.,cinco,하
227,시간,Son las once y media.,11시 30분이다.,Son las ( ) y media.,once,하
228,시간,Son las dos y diez.,2시 10분이다.,Son las dos ( ).,y diez,하
229,시간,Son las seis y veinte.,6시 20분이다. ,Son las seis ( ).,y veinte,하
230,시간,Son las cinco y cuarto.,5시 15분이다.,Son las cinco ( ).,y cuarto,하
231,시간,Son las nueve y media.,9시 30분이다.,Son las nueve ( ).,y media,중
232,시간,Son las ocho menos diez.,7시 50분이다.,Son las ocho ( ).,menos diez,중
233,시간,Son las tres menos cuarto.,2시 45분이다.,Son las tres ( ).,menos cuarto,중
234,시간,Son las ocho menos veinte.,7시 40분이다.,Son las ocho ( ).,menos veinte,중
235,요일 및 날짜,¿Qué fecha es hoy?,오늘은 몇 월 며칠입니까?,¿Qué ( ) es hoy?,fecha,중
236,요일 및 날짜,¿Qué día es hoy?,오늘은 무슨 요일입니까?,¿Qué ( ) es hoy?,día,중
237,요일 및 날짜,Hoy es lunes.,오늘은 월요일입니다.,Hoy es ( ).,lunes,중
238,요일 및 날짜,Hoy es martes.,오늘은 화요일입니다.,Hoy es ( ).,martes,중
239,요일 및 날짜,Hoy es miércoles.,오늘은 수요일입니다.,Hoy es ( ).,miércoles,중
240,요일 및 날짜,Hoy es jueves.,오늘은 목요일입니다.,Hoy es ( ).,jueves,중
241,요일 및 날짜,Hoy es viernes.,오늘은 금요일입니다.,Hoy es ( ).,viernes,중
242,요일 및 날짜,Hoy es sábado.,오늘은 토요일입니다. ,Hoy es ( ).,sábado,중
243,요일 및 날짜,Hoy es domingo.,오늘은 일요일입니다.,Hoy es ( ).,domingo,중
244,요일 및 날짜,Hoy es once de marzo.,오늘은 3월 11일입니다.,Hoy es ( ).,once de marzo,중
245,요일 및 날짜,Hoy es trece de abril.,오늘은 4월 13일입니다.,Hoy es ( ).,trece de abril,중
246,요일 및 날짜,Hoy es trece de mayo.,오늘은 5월 13일입니다.,Hoy es ( ).,trece de mayo,중
247,요일 및 날짜,Hoy es veintisiete de mayo.,오늘은 5월 27일입니다.,Hoy es ( ).,veintisiete de mayo,중
248,요일 및 날짜,Hoy es veintiocho de mayo.,오늘은 5월 28일입니다.,Hoy es ( ).,veintiocho de mayo,중
249,요일 및 날짜,Hoy es treinta de julio.,오늘은 7월 30일입니다.,Hoy es ( ).,treinta de julio,중
250,요일 및 날짜,Hoy es treinta y uno de agosto.,오늘은 8월 31일입니다.,Hoy es ( ).,treinta y uno de agosto,중
251,요일 및 날짜,Hoy es dieciocho de octubre.,오늘은 10월 18일입니다.,Hoy es ( ).,dieciocho de octubre,중
252,요일 및 날짜,Hoy es quince de diciembre.,오늘은 12월 15일입니다.,Hoy es ( ).,quince de diciembre,중
253,요일 및 날짜,Hoy es veinte de enero.,오늘은 1월 20일입니다.,Hoy es ( ).,veinte de enero,중
254,요일 및 날짜,Hoy es veintinueve de febrero.,오늘은 2월 29일입니다.,Hoy es ( ).,veintinueve de febrero,중
255,요일 및 날짜,Hoy es veintitrés de junio.,오늘은 6월 23일입니다. ,Hoy es ( ).,veintitrés de junio,중
256,몇시에,¿A qué hora abre el restaurante?,몇 시에 식당이 여나요?,¿A qué hora ( ) el restaurante? ,abre,중
257,몇시에,El restaurante abre a las seis y media de la mañana.,오전 6시 30분에 열어요.,El restaurante abre a las seis y ( ) de la mañana. ,media,중
258,몇시에,¿A qué hora abre la tienda?,몇 시에 가게가 여나요?,¿A qué hora ( ) la tienda? ,abre,중
259,몇시에,La tienda abre a las nueve en punto de la mañana.,오전 9시 정각에 열어요.,La tienda abre a las nueve ( ) de la mañana.,en punto,중
260,몇시에,¿A qué hora cierra el restaurante?,몇 시에 식당이 닫아요?,¿A qué hora ( ) el restaurante? ,cierra,중
261,몇시에,El restaurante cierra a las siete y cuarto de la tarde.,오후 7시 15분에 닫아요.,El restaurante cierra a las siete y ( ) de la tarde. ,cuarto,중
